order_id,order_date,customer_id,customer_segment,region,marketing_channel,product_id,product_name,category,tier,units_sold,standard_price,discount_pct,final_price,revenue,cost,profit,profit_margin_pct,returned,customer_rating,month,month_num,discount_band,adjusted_profit,unit_cost,seasonality_multiplier,channel_discount_multiplier,category_cost_multiplier,discount_effect,return_probability
ORD000001,2024-08-24,CUST00001,VIP,Midlands,TikTok,SKU104,Pet Blanket Mid,Pet Supplies,Mid,1,34.46,15,27.95,27.95,21.81,6.13,0.22,1,4,August,8,11-15%,-3.07,22.26,0.98,1.15,0.98,0.8275,0.11
ORD000001,2024-08-24,CUST00001,VIP,Midlands,TikTok,SKU049,Yoga Mat Budget,Fitness,Budget,2,10.87,10,9.43,18.86,16.8,2.06,0.11,0,3,August,8,6-10%,2.06,8.84,0.98,1.15,0.95,0.885,0.11
ORD000001,2024-08-24,CUST00001,VIP,Midlands,TikTok,SKU012,Laptop Stand Premium,Electronics,Premium,1,43.73,15,35.46,35.46,28.35,7.11,0.2,0,5,August,8,11-15%,7.11,26.25,0.98,1.15,1.08,0.8275,0.11
ORD000002,2024-06-09,CUST00001,VIP,Midlands,Facebook Ads,SKU002,Wireless Charger Mid,Electronics,Mid,1,37.06,5,36.11,36.11,28.65,7.46,0.21,1,5,June,6,1-5%,-3.73,26.53,1.03,1.08,1.08,0.946,0.08
ORD000002,2024-06-09,CUST00001,VIP,Midlands,Facebook Ads,SKU075,Face Serum Premium,Beauty,Premium,1,89.3,0,91.98,91.98,50.56,41.42,0.45,0,4,June,6,No Discount,41.42,56.18,1.03,1.08,0.9,1.0,0.08
ORD000002,2024-06-09,CUST00001,VIP,Midlands,Facebook Ads,SKU053,Foam Roller Mid,Fitness,Mid,3,39.18,15,33.82,101.45,71.25,30.2,0.3,0,5,June,6,11-15%,30.2,25.0,1.03,1.08,0.95,0.838,0.08
ORD000002,2024-06-09,CUST00001,VIP,Midlands,Facebook Ads,SKU109,Training Pads Budget,Pet Supplies,Budget,3,15.89,20,12.83,38.49,34.05,4.45,0.12,0,5,June,6,15%+,4.45,11.58,1.03,1.08,0.98,0.784,0.08
ORD000003,2024-03-27,CUST00001,VIP,Midlands,Organic,SKU077,LED Mirror Mid,Beauty,Mid,3,28.31,10,23.75,71.26,53.24,18.02,0.25,0,5,March,3,6-10%,18.02,19.72,0.92,0.88,0.9,0.912,0.05
ORD000004,2024-11-14,CUST00001,VIP,Midlands,Google Ads,SKU065,Gym Gloves Mid,Fitness,Mid,2,35.68,10,40.88,81.75,38.63,43.12,0.53,0,3,November,11,6-10%,43.12,20.33,1.28,1.05,0.95,0.895,0.07
ORD000004,2024-11-14,CUST00001,VIP,Midlands,Google Ads,SKU079,Makeup Organiser Budget,Beauty,Budget,1,10.24,0,13.11,13.11,6.04,7.07,0.54,0,4,November,11,No Discount,7.07,6.71,1.28,1.05,0.9,1.0,0.07
ORD000004,2024-11-14,CUST00001,VIP,Midlands,Google Ads,SKU029,Storage Basket Mid,Home & Kitchen,Mid,2,31.0,15,33.43,66.86,38.28,28.58,0.43,0,5,November,11,11-15%,28.58,19.14,1.28,1.05,1.0,0.8425,0.07
ORD000005,2024-12-27,CUST00001,VIP,Midlands,Facebook Ads,SKU011,Laptop Stand Mid,Electronics,Mid,1,23.97,20,22.93,22.93,17.18,5.74,0.25,0,3,December,12,15%+,5.74,15.91,1.22,1.08,1.08,0.784,0.08
